,ENRICHED IN MONOCYTES,INFLAMMATORY_RESPONSE,COMPLEMENT,CHEMOKINE_SIGNALING_PATHWAY,ENRICHED IN NEUTROPHILS (I),INTEGRIN_SIGNALING,ACTIVATED DENDRITIC CELL SIGNATURE,EPHRIN_RECEPTOR_SIGNALING,ACTIN_CYTOSKELETON_SIGNALING,IL-8_SIGNALING,MTORC1_SIGNALING,SENESE_HDAC1_AND_HDAC2_TARGETS_UP,PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,IL1_SIGNALING_PATHWAY,NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,NEUREGULIN_SIGNALING,ERK_MAPK_SIGNALING,LU_AGING_BRAIN_DN,NEUROTROPHIN_SIGNALING_PATHWAY,SIGNALLING_TO_ERKS,ONCOSTATIN_M_SIGNALING,PID_IL8_CXCR2_PATHWAY,FIBRINOLYSIS,MACROPINOCYTOSIS_SIGNALING,TNFA_SIGNALING_VIA_NFKB,ENRICHED IN ANTIGEN PRESENTATION,INTERFERON_GAMMA_RESPONSE,INTERLEUKIN_12_FAMILY_SIGNALING,IL6_JAK_STAT3_SIGNALING,GLUTAMATE_METABOLISM,PID_IL8_CXCR1_PATHWAY,GM-CSF_SIGNALING,INSULIN_SIGNALING_PATHWAY,IL6_SIGNALING_PATHWAY,PI3K_AKT_SIGNALING,TGFB_PATHWAY,LXR_RXR_ACTIVATION,JAK_STAT_SIGNALING_PATHWAY.IPA,LEPTIN_SIGNALING_PATHWAY,CHEMOKINE_SIGNALING,MELATONIN_SIGNALING,HECKER_IFNB1_TARGETS,IL2_STAT5_SIGNALING,NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,COMPLEMENT_SYSTEM,GNRH_SIGNALING_PATHWAY,APOPTOSIS,IL-15_SIGNALING,M2 MACROPHAGES,DNMT3A_EXHAUSTION,JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,RENIN-ANGIOTENSIN_SIGNALING,JAK_STAT_SIGNALING,ROLE_OF_NFAT_IN_CARDIAC_HYPERTROPHY,PID_IFNG_PATHWAY,ERK5_SIGNALING,VIRAL_MYOCARDITIS,GO_AGING,TYPE_II_INTERFERON_SIGNALING,ROLE_OF_JAK1_AND_JAK3_IN_GAMMAC_CYTOKINE_SIGNALING,CORTICO-TROPIN-RELEASING_HORMONE,M1 MACROPHAGES,T CELL EXHAUSTION,TYPE_I_DIABETES_MELLITUS_SIGNALING,T_CELL_EXHAUSTION
Fatigue,3.260010216095238,2.840949391714286,3.200912116,3.121305130285714,3.2015519464761906,3.1911907316190473,2.8398497964285716,3.294065021857143,3.1278541766190475,3.3665577874761916,3.2526966577619043,2.840091497714286,3.196660370904761,3.2446115969523817,3.172923169523809,3.137997632904762,3.144080548428572,3.222082949857143,3.30092903752381,3.141613082809524,2.9060849204761907,3.2556662232380944,3.2023215977142856,3.0875583550952377,3.042416913047618,3.2391728263809534,3.376168793285715,2.995412881904762,3.2510651864761906,3.2722759504285714,3.201876565238095,3.199306351142857,3.285028374,3.3037923767142856,3.041275072714286,3.2905836694761903,3.245901721285714,2.8697491761904765,2.8710680030476188,3.035208812666667,3.268917768095238,3.3075035209047625,3.2168366776666666,3.16867288,3.2956591254761896,2.655411369285714,3.2728715335238086,3.1727793226190486,3.216342902190476,3.3620414724761907,3.337687548619048,3.3561285042857145,3.242238740809524,3.225685344285714,3.2681023066190473,3.235765923190476,3.094050297904762,3.3092293344285713,3.232903997428571,3.232903997428571,3.1542420395238095,2.9965435317619047,3.2041399412380946,3.3025612931428574,3.256187396190476
Pain,3.2622723658518518,2.842845620814815,3.201075605,3.1239326631111113,3.202983949555555,3.1924546180740743,2.839693732740741,3.295489833925927,3.129627327148148,3.369435387370371,3.2635155127777775,2.8539150064814827,3.1984315874814815,3.24561590262963,3.17430934537037,3.141440504555556,3.1426070939629622,3.2246672930740745,3.3032407161851856,3.143436169185185,2.9043261598518515,3.257824001666666,3.2044377977037044,3.08924959674074,3.0472334762222215,3.2389141719999994,3.380431337592593,2.9989913195185185,3.2521145654444448,3.274236329222223,3.201643205555555,3.203496511185185,3.285516525518519,3.3084389294814818,3.044546862444444,3.2903299036296296,3.247210084703703,2.8790399157777777,2.875129421,3.0475528389629627,3.2704254118148155,3.309790439851852,3.216292322740741,3.1736710715555563,3.296585083888888,2.664417348925926,3.273186382999999,3.173633708444444,3.2175363238888894,3.3640648112592597,3.33910035325926,3.356324326333334,3.2432801044814816,3.2270696400740744,3.271569588481481,3.236949554777778,3.0944243551851853,3.3100055724814816,3.2334216899259265,3.2334216899259265,3.1547542155925923,2.99706318288889,3.2048914862222224,3.3028741254814813,3.2549865689999997
Headache,3.2628277418000007,2.857604198866667,3.2037167281333327,3.1254455143333337,3.2043637348000003,3.193987385866667,2.8601261380666667,3.2950587772666675,3.131287978533334,3.367960528533333,3.2635050094666678,2.8537639618666666,3.2009521216,3.248316534333333,3.1760903268666665,3.1466793848666668,3.1457351576,3.2261280621999995,3.303789122933333,3.1471036793333336,2.922478114533334,3.2568436480666674,3.205551082533333,3.090711063199999,3.0480356010666667,3.2387442405333338,3.3800765851333336,2.9978962046666666,3.252008609266667,3.2758442792,3.210424103666667,3.205340827666667,3.287182090533333,3.3074251595999997,3.0458886863333334,3.292048224933333,3.2495224258000004,2.8730305540666663,2.878172654133334,3.0490283189999996,3.270520184933333,3.3084778628666665,3.2173923158666664,3.1762140437333333,3.2966631190666664,2.670911555333334,3.2744208937333337,3.1741351401333326,3.218683135533333,3.3664607500666666,3.341000549,3.357641905,3.244016018733334,3.2284735998666667,3.2722326101333326,3.2377072393333326,3.0935694572,3.3107471137333335,3.2353869736666665,3.2353869736666665,3.1568885798666666,2.996218724333333,3.2069482039999997,3.3040574268,3.256130153
Fever,3.265831289,2.854291909,3.204148685,3.1440885416666666,3.2145649146666666,3.1898991626666664,2.8481274850000005,3.298033477,3.125354501666667,3.3765316513333334,3.2750416896666668,2.884869328666667,3.198189149333333,3.249652463666667,3.1624793646666665,3.1485502396666667,3.1328085453333334,3.2287887746666666,3.3026495189999996,3.140699982333333,2.9473331786666663,3.2638708120000004,3.206161669333333,3.0979962813333333,3.048333819333333,3.245143027333333,3.3904765213333334,2.9985457429999998,3.249590269,3.279501819,3.2102920543333333,3.2059359266666667,3.283204736666667,3.314962230666667,3.044759582333333,3.2963691953333334,3.243544403,2.887220162666667,2.8982151233333333,3.0528040723333336,3.270007365,3.312409114333333,3.2052125786666665,3.1800477420000006,3.30339155,2.6577380773333332,3.2710447570000003,3.1670671823333336,3.2154721546666667,3.3713470369999996,3.338642479,3.354268145666667,3.2479626533333334,3.2404804573333332,3.279482594333333,3.2347883436666667,3.093737397,3.310601639666667,3.233316508666667,3.233316508666667,3.151102854,2.987033307333333,3.203551153333333,3.3103612276666667,3.233894763666667
Cough,3.261071863642857,2.8566789039285716,3.197577569571428,3.130664413142857,3.2059993752142866,3.18876649,2.8573497785,3.2925601827857145,3.126947582571429,3.3668281462142855,3.252661653000001,2.8429778528571426,3.1954843687857144,3.2443436207857137,3.175302365785714,3.140563031214286,3.1426667819285714,3.2257504750714285,3.2998272483571425,3.1410430230714286,2.939492890928572,3.258695039214286,3.202880202928571,3.0901375829999997,3.044823693857143,3.231031555,3.3813797246428576,2.9946318760714283,3.249621868071429,3.273930883357143,3.2130792646428574,3.2027799,3.2867046366428565,3.3115376649285713,3.0453412952142855,3.2913633545714283,3.2455479200714294,2.8721735221428566,2.8863611021428572,3.032313763285714,3.267905098642857,3.3062013440714284,3.2154055704999993,3.172763284857143,3.293287822714286,2.6624067522857144,3.2718580500714287,3.172634726785714,3.215969612928571,3.3641963843571427,3.3358635394285714,3.3551712252857144,3.2389095876428575,3.2310087457857146,3.274825750214285,3.2347200972142853,3.087863698,3.3071372215714283,3.2324319292857147,3.2324319292857147,3.155399389357143,2.9926642153571428,3.2026658148571427,3.302671382785714,3.2493190395714286
Shortness of Breath,3.2607205138,2.824365347,3.1999282584,3.1191231144,3.1980814723,3.1898253905000002,2.835837917,3.2963673495999997,3.1275458156000004,3.369184336,3.2571466649999996,2.8566232646999996,3.1968194164000003,3.2444187084000005,3.1736201904999994,3.1388748974,3.1363131892,3.2251767032000003,3.3004191282,3.1397457654,2.8797366397,3.2588266892,3.2076434106000002,3.0906446874999998,3.0403656226,3.2432381054000006,3.3757876119000003,3.000683203,3.2524521311,3.272827084,3.1909879124000002,3.1940304368999994,3.2855095093999993,3.3073461797,3.0395526419,3.2890969898,3.2442076121000007,2.8727462373000003,2.8759571881,3.0435374300999998,3.2731085559,3.3093234726999996,3.2134570453,3.1595590371,3.2955319669000005,2.6430761723,3.2727464591,3.1734564796999996,3.2197460699,3.3632913489999994,3.3369014589000003,3.3571141952,3.2433534612000003,3.2255533133,3.2656320555000002,3.2360182103999997,3.096221727,3.3066925151,3.2305557391999997,3.2305557391999997,3.1537186309,3.0030797887,3.2020236286999997,3.3028053244000004,3.2500776051000004
Chest Pain,3.2577126600000006,2.8249963214166667,3.189718038,3.1268568470833333,3.2039938824999994,3.1803060865833337,2.8051179395,3.292164724833334,3.11976691675,3.3675640996666663,3.2421929942500007,2.8367126874166666,3.1888274865833335,3.23782302625,3.16043384825,3.1263966255,3.1367990666666667,3.222581802416667,3.295972415833333,3.132233218333333,2.9066845542500004,3.257186990416667,3.1975528779166673,3.0826169226666664,3.0317122527500007,3.2284791671666664,3.3797922195,2.987696471833333,3.2475969809166663,3.2694779596666668,3.200319716083333,3.198524608916667,3.27993612775,3.30816972475,3.0351024465000003,3.288549007,3.2397870041666668,2.870568556166667,2.874529062916667,3.0362238607500007,3.26573113475,3.307087039583333,3.210313994,3.1658255022499997,3.2931323901666665,2.642536133333333,3.268387834916666,3.1697308945833336,3.2109836484166667,3.3593367366666667,3.3327108478333334,3.3532111703333327,3.234919690416667,3.2276045840833336,3.269945012999999,3.2301610486666674,3.086092847416667,3.305285670250001,3.22681882325,3.22681882325,3.1463950105000005,2.9876698870833334,3.1979020709999997,3.302489369416667,3.244237495
Brain Fog,3.2590826537727278,2.837785982954545,3.199416600863637,3.118828891363636,3.200352865636364,3.190411743136363,2.837500967818182,3.2938204838636365,3.127015025363636,3.363804880000001,3.2526397244090903,2.842396845454545,3.1963987670909093,3.243664751227273,3.1700049791818183,3.135306655272727,3.1420995556818183,3.2224709300909096,3.299785272181819,3.1409833218181826,2.9036628295000004,3.255347759681818,3.2019362991363636,3.0858038259090907,3.0395668863181813,3.238094532636364,3.37645510809091,2.993302056772727,3.250198815818182,3.2715476727272734,3.2022078276818178,3.2016509537727273,3.2829510736363634,3.303896974136363,3.0395082797272726,3.290278941181818,3.2466327038636362,2.8661746033181816,2.8696878973181814,3.0377765053636363,3.268454557318182,3.307620327818182,3.215512748772727,3.1697875294090907,3.2953059440909085,2.654475012954545,3.2721776104090905,3.173015187772728,3.215116027409091,3.361582860227273,3.337207613136364,3.355829714727273,3.2401621981363644,3.2242037526818184,3.2679640392272726,3.2345500867727277,3.092328927090909,3.3080263913181827,3.232333743045454,3.232333743045454,3.151981620318182,2.9941610077727274,3.203149990727273,3.3051768335000005,3.2516277512727267
Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdominal Pain,3.2596523055714286,2.818263126,3.1945133527142855,3.1187452369999997,3.199597595,3.183929153142857,2.8161131594285713,3.2953979504285718,3.122260484142857,3.3728025590000006,3.256465216428571,2.859349779285714,3.1924373017142855,3.240755196142857,3.164520728857142,3.129433672285714,3.1295491475714283,3.2225520711428572,3.298144284714286,3.1345247778571426,2.883408138714286,3.258120822428571,3.2034376204285713,3.083162652428572,3.0356504770000003,3.23999668,3.3775435494285717,2.992924386,3.2494883449999996,3.271162852285714,3.1910911025714284,3.1913387132857136,3.280905480285714,3.303901615428572,3.0333803107142856,3.2880313177142857,3.2377402675714286,2.867678778428572,2.8709961617142854,3.0434431067142858,3.268504689,3.309536997,3.207776714428572,3.1604577931428572,3.2950788687142856,2.6275742614285713,3.269922286142857,3.1675583898571427,3.215051120714286,3.361735967142857,3.334980853857143,3.3543617607142857,3.240561995285714,3.224903287285714,3.265788797571428,3.2325970855714283,3.092802744714286,3.304588948428571,3.2269142328571427,3.2269142328571427,3.1464116072857142,2.991627284,3.1978435055714285,3.3022131277142854,3.246217896714285
