,ENRICHED IN MONOCYTES,INFLAMMATORY_RESPONSE,COMPLEMENT,CHEMOKINE_SIGNALING_PATHWAY,ENRICHED IN NEUTROPHILS (I),INTEGRIN_SIGNALING,ACTIVATED DENDRITIC CELL SIGNATURE,EPHRIN_RECEPTOR_SIGNALING,ACTIN_CYTOSKELETON_SIGNALING,IL-8_SIGNALING,MTORC1_SIGNALING,SENESE_HDAC1_AND_HDAC2_TARGETS_UP,PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,IL1_SIGNALING_PATHWAY,NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,NEUREGULIN_SIGNALING,ERK_MAPK_SIGNALING,LU_AGING_BRAIN_DN,NEUROTROPHIN_SIGNALING_PATHWAY,SIGNALLING_TO_ERKS,ONCOSTATIN_M_SIGNALING,PID_IL8_CXCR2_PATHWAY,FIBRINOLYSIS,MACROPINOCYTOSIS_SIGNALING,TNFA_SIGNALING_VIA_NFKB,ENRICHED IN ANTIGEN PRESENTATION,INTERFERON_GAMMA_RESPONSE,INTERLEUKIN_12_FAMILY_SIGNALING,IL6_JAK_STAT3_SIGNALING,GLUTAMATE_METABOLISM,PID_IL8_CXCR1_PATHWAY,GM-CSF_SIGNALING,INSULIN_SIGNALING_PATHWAY,IL6_SIGNALING_PATHWAY,PI3K_AKT_SIGNALING,TGFB_PATHWAY,LXR_RXR_ACTIVATION,JAK_STAT_SIGNALING_PATHWAY.IPA,LEPTIN_SIGNALING_PATHWAY,CHEMOKINE_SIGNALING,MELATONIN_SIGNALING,HECKER_IFNB1_TARGETS,IL2_STAT5_SIGNALING,NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,COMPLEMENT_SYSTEM,GNRH_SIGNALING_PATHWAY,APOPTOSIS,IL-15_SIGNALING,M2 MACROPHAGES,DNMT3A_EXHAUSTION,JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,RENIN-ANGIOTENSIN_SIGNALING,JAK_STAT_SIGNALING,ROLE_OF_NFAT_IN_CARDIAC_HYPERTROPHY,PID_IFNG_PATHWAY,ERK5_SIGNALING,VIRAL_MYOCARDITIS,GO_AGING,TYPE_II_INTERFERON_SIGNALING,ROLE_OF_JAK1_AND_JAK3_IN_GAMMAC_CYTOKINE_SIGNALING,CORTICO-TROPIN-RELEASING_HORMONE,M1 MACROPHAGES,T CELL EXHAUSTION,TYPE_I_DIABETES_MELLITUS_SIGNALING,T_CELL_EXHAUSTION
Fatigue,3.245910445333333,2.841105222,3.2287502643333332,3.1333776426666673,3.1932631590000002,3.1870764366666666,2.7890283986666664,3.303443343666667,3.1498372653333333,3.345294838333333,3.2203852753333333,2.877696396333333,3.2071147653333334,3.244083214333333,3.2336550153333334,3.1341785666666664,3.142251837,3.226502470333333,3.314548278666667,3.157157294333333,2.8931103786666665,3.2631895163333335,3.228149571666666,3.1268804103333334,3.065279364333333,3.2467057473333334,3.344598149333333,3.0378784176666667,3.2564566043333336,3.2648274553333336,3.2153732673333337,3.195931398666666,3.306460625666667,3.3069527576666666,3.074246233666667,3.2896805516666667,3.2531898486666666,2.9288116096666665,2.8759338850000002,3.013930208,3.272541295,3.300956209,3.2346007526666667,3.1482233226666665,3.2726825243333333,2.6912688836666665,3.283263677666667,3.2078708193333334,3.2358043850000002,3.355304773666667,3.351323497333333,3.3724537983333334,3.2497979513333335,3.2325318719999996,3.255181671666666,3.2509831840000003,3.1371044280000002,3.300444135333333,3.2495429700000003,3.2495429700000003,3.1713114103333333,3.075176325333333,3.2213219533333333,3.2809872703333336,3.2519049966666667
Pain,3.2523853534000002,2.8533284793999996,3.2223051544,3.1381204000000005,3.2038568686,3.1966610034,2.8153236363999996,3.3027187582,3.1428112282000003,3.351642805,3.2503918333999997,2.8769601708,3.2042311374,3.2456497131999997,3.2021290794,3.1366452458,3.133013639,3.228727454,3.3109139063999997,3.1544094012,2.9229793273999998,3.2640275821999998,3.2184810252,3.1149568303999997,3.0583412899999995,3.2483015608000003,3.3635963634,3.0246935778,3.2535314002,3.2688447788000006,3.2159280086,3.1937726438,3.2976447528,3.2977928844000006,3.0579283986,3.2912604074000003,3.2503425805999995,2.9169772513999996,2.8810838146,3.0424193318000006,3.2708821117999998,3.3066803350000002,3.2245590938,3.1678290674,3.2840328137999997,2.6954757712,3.2762438724,3.1950613364,3.2245587130000004,3.3609135362000004,3.3478000519999993,3.3663804676,3.2489890596000004,3.2363048789999995,3.2650559144,3.2440869884000003,3.1237961910000003,3.3045681594,3.2470764549999998,3.2470764549999998,3.1623605126000003,3.0380659463999997,3.2136707307999997,3.2939070803999995,3.2418477589999997
Headache,3.253222860333333,2.8633860203333334,3.21808018,3.1425296589999996,3.2103570186666666,3.1997997559999996,2.829472007333333,3.3008996516666667,3.1373702773333334,3.358872070666667,3.2633766063333334,2.873902755,3.2021021876666667,3.244120403666667,3.1850956413333336,3.1351359396666667,3.1135189103333336,3.225396888,3.3094114213333334,3.155249986,2.950730010333333,3.263726512333333,3.2107617226666663,3.1125733170000003,3.0547510376666662,3.2433504786666667,3.3755986030000003,3.013442682333333,3.248926041666667,3.2719579946666664,3.215043481,3.193781617666667,3.2875294956666665,3.295170565,3.047253269,3.2938754660000007,3.2474563379999997,2.9136409800000003,2.8821330013333335,3.044400985,3.267542508,3.306177273,3.2198252723333334,3.167942001,3.2913787329999997,2.6769201086666663,3.2716396386666666,3.179034566,3.214446586333333,3.365277143,3.3439850566666665,3.3618880473333337,3.2456658179999995,3.243124987,3.271884518333333,3.2375898223333333,3.111979648666667,3.3056795806666663,3.2443717089999997,3.2443717089999997,3.1572238946666666,3.0156225183333336,3.209638899666667,3.296694615333333,3.2343891496666664
Fever,3.253222860333333,2.8633860203333334,3.21808018,3.1425296589999996,3.2103570186666666,3.1997997559999996,2.829472007333333,3.3008996516666667,3.1373702773333334,3.358872070666667,3.2633766063333334,2.873902755,3.2021021876666667,3.244120403666667,3.1850956413333336,3.1351359396666667,3.1135189103333336,3.225396888,3.3094114213333334,3.155249986,2.950730010333333,3.263726512333333,3.2107617226666663,3.1125733170000003,3.0547510376666662,3.2433504786666667,3.3755986030000003,3.013442682333333,3.248926041666667,3.2719579946666664,3.215043481,3.193781617666667,3.2875294956666665,3.295170565,3.047253269,3.2938754660000007,3.2474563379999997,2.9136409800000003,2.8821330013333335,3.044400985,3.267542508,3.306177273,3.2198252723333334,3.167942001,3.2913787329999997,2.6769201086666663,3.2716396386666666,3.179034566,3.214446586333333,3.365277143,3.3439850566666665,3.3618880473333337,3.2456658179999995,3.243124987,3.271884518333333,3.2375898223333333,3.111979648666667,3.3056795806666663,3.2443717089999997,3.2443717089999997,3.1572238946666666,3.0156225183333336,3.209638899666667,3.296694615333333,3.2343891496666664
Cough,3.253222860333333,2.8633860203333334,3.21808018,3.1425296589999996,3.2103570186666666,3.1997997559999996,2.829472007333333,3.3008996516666667,3.1373702773333334,3.358872070666667,3.2633766063333334,2.873902755,3.2021021876666667,3.244120403666667,3.1850956413333336,3.1351359396666667,3.1135189103333336,3.225396888,3.3094114213333334,3.155249986,2.950730010333333,3.263726512333333,3.2107617226666663,3.1125733170000003,3.0547510376666662,3.2433504786666667,3.3755986030000003,3.013442682333333,3.248926041666667,3.2719579946666664,3.215043481,3.193781617666667,3.2875294956666665,3.295170565,3.047253269,3.2938754660000007,3.2474563379999997,2.9136409800000003,2.8821330013333335,3.044400985,3.267542508,3.306177273,3.2198252723333334,3.167942001,3.2913787329999997,2.6769201086666663,3.2716396386666666,3.179034566,3.214446586333333,3.365277143,3.3439850566666665,3.3618880473333337,3.2456658179999995,3.243124987,3.271884518333333,3.2375898223333333,3.111979648666667,3.3056795806666663,3.2443717089999997,3.2443717089999997,3.1572238946666666,3.0156225183333336,3.209638899666667,3.296694615333333,3.2343891496666664
Shortness of Breath,3.253222860333333,2.8633860203333334,3.21808018,3.1425296589999996,3.2103570186666666,3.1997997559999996,2.829472007333333,3.3008996516666667,3.1373702773333334,3.358872070666667,3.2633766063333334,2.873902755,3.2021021876666667,3.244120403666667,3.1850956413333336,3.1351359396666667,3.1135189103333336,3.225396888,3.3094114213333334,3.155249986,2.950730010333333,3.263726512333333,3.2107617226666663,3.1125733170000003,3.0547510376666662,3.2433504786666667,3.3755986030000003,3.013442682333333,3.248926041666667,3.2719579946666664,3.215043481,3.193781617666667,3.2875294956666665,3.295170565,3.047253269,3.2938754660000007,3.2474563379999997,2.9136409800000003,2.8821330013333335,3.044400985,3.267542508,3.306177273,3.2198252723333334,3.167942001,3.2913787329999997,2.6769201086666663,3.2716396386666666,3.179034566,3.214446586333333,3.365277143,3.3439850566666665,3.3618880473333337,3.2456658179999995,3.243124987,3.271884518333333,3.2375898223333333,3.111979648666667,3.3056795806666663,3.2443717089999997,3.2443717089999997,3.1572238946666666,3.0156225183333336,3.209638899666667,3.296694615333333,3.2343891496666664
Chest Pain,3.245910445333333,2.841105222,3.2287502643333332,3.1333776426666673,3.1932631590000002,3.1870764366666666,2.7890283986666664,3.303443343666667,3.1498372653333333,3.345294838333333,3.2203852753333333,2.877696396333333,3.2071147653333334,3.244083214333333,3.2336550153333334,3.1341785666666664,3.142251837,3.226502470333333,3.314548278666667,3.157157294333333,2.8931103786666665,3.2631895163333335,3.228149571666666,3.1268804103333334,3.065279364333333,3.2467057473333334,3.344598149333333,3.0378784176666667,3.2564566043333336,3.2648274553333336,3.2153732673333337,3.195931398666666,3.306460625666667,3.3069527576666666,3.074246233666667,3.2896805516666667,3.2531898486666666,2.9288116096666665,2.8759338850000002,3.013930208,3.272541295,3.300956209,3.2346007526666667,3.1482233226666665,3.2726825243333333,2.6912688836666665,3.283263677666667,3.2078708193333334,3.2358043850000002,3.355304773666667,3.351323497333333,3.3724537983333334,3.2497979513333335,3.2325318719999996,3.255181671666666,3.2509831840000003,3.1371044280000002,3.300444135333333,3.2495429700000003,3.2495429700000003,3.1713114103333333,3.075176325333333,3.2213219533333333,3.2809872703333336,3.2519049966666667
Brain Fog,3.253222860333333,2.8633860203333334,3.21808018,3.1425296589999996,3.2103570186666666,3.1997997559999996,2.829472007333333,3.3008996516666667,3.1373702773333334,3.358872070666667,3.2633766063333334,2.873902755,3.2021021876666667,3.244120403666667,3.1850956413333336,3.1351359396666667,3.1135189103333336,3.225396888,3.3094114213333334,3.155249986,2.950730010333333,3.263726512333333,3.2107617226666663,3.1125733170000003,3.0547510376666662,3.2433504786666667,3.3755986030000003,3.013442682333333,3.248926041666667,3.2719579946666664,3.215043481,3.193781617666667,3.2875294956666665,3.295170565,3.047253269,3.2938754660000007,3.2474563379999997,2.9136409800000003,2.8821330013333335,3.044400985,3.267542508,3.306177273,3.2198252723333334,3.167942001,3.2913787329999997,2.6769201086666663,3.2716396386666666,3.179034566,3.214446586333333,3.365277143,3.3439850566666665,3.3618880473333337,3.2456658179999995,3.243124987,3.271884518333333,3.2375898223333333,3.111979648666667,3.3056795806666663,3.2443717089999997,3.2443717089999997,3.1572238946666666,3.0156225183333336,3.209638899666667,3.296694615333333,3.2343891496666664
Abdominal Pain,3.2523853534000002,2.8533284793999996,3.2223051544,3.1381204000000005,3.2038568686,3.1966610034,2.8153236363999996,3.3027187582,3.1428112282000003,3.351642805,3.2503918333999997,2.8769601708,3.2042311374,3.2456497131999997,3.2021290794,3.1366452458,3.133013639,3.228727454,3.3109139063999997,3.1544094012,2.9229793273999998,3.2640275821999998,3.2184810252,3.1149568303999997,3.0583412899999995,3.2483015608000003,3.3635963634,3.0246935778,3.2535314002,3.2688447788000006,3.2159280086,3.1937726438,3.2976447528,3.2977928844000006,3.0579283986,3.2912604074000003,3.2503425805999995,2.9169772513999996,2.8810838146,3.0424193318000006,3.2708821117999998,3.3066803350000002,3.2245590938,3.1678290674,3.2840328137999997,2.6954757712,3.2762438724,3.1950613364,3.2245587130000004,3.3609135362000004,3.3478000519999993,3.3663804676,3.2489890596000004,3.2363048789999995,3.2650559144,3.2440869884000003,3.1237961910000003,3.3045681594,3.2470764549999998,3.2470764549999998,3.1623605126000003,3.0380659463999997,3.2136707307999997,3.2939070803999995,3.2418477589999997
Palpitations,3.245910445333333,2.841105222,3.2287502643333332,3.1333776426666673,3.1932631590000002,3.1870764366666666,2.7890283986666664,3.303443343666667,3.1498372653333333,3.345294838333333,3.2203852753333333,2.877696396333333,3.2071147653333334,3.244083214333333,3.2336550153333334,3.1341785666666664,3.142251837,3.226502470333333,3.314548278666667,3.157157294333333,2.8931103786666665,3.2631895163333335,3.228149571666666,3.1268804103333334,3.065279364333333,3.2467057473333334,3.344598149333333,3.0378784176666667,3.2564566043333336,3.2648274553333336,3.2153732673333337,3.195931398666666,3.306460625666667,3.3069527576666666,3.074246233666667,3.2896805516666667,3.2531898486666666,2.9288116096666665,2.8759338850000002,3.013930208,3.272541295,3.300956209,3.2346007526666667,3.1482233226666665,3.2726825243333333,2.6912688836666665,3.283263677666667,3.2078708193333334,3.2358043850000002,3.355304773666667,3.351323497333333,3.3724537983333334,3.2497979513333335,3.2325318719999996,3.255181671666666,3.2509831840000003,3.1371044280000002,3.300444135333333,3.2495429700000003,3.2495429700000003,3.1713114103333333,3.075176325333333,3.2213219533333333,3.2809872703333336,3.2519049966666667
