,ENRICHED IN MONOCYTES,INFLAMMATORY_RESPONSE,COMPLEMENT,CHEMOKINE_SIGNALING_PATHWAY,ENRICHED IN NEUTROPHILS (I),INTEGRIN_SIGNALING,ACTIVATED DENDRITIC CELL SIGNATURE,EPHRIN_RECEPTOR_SIGNALING,ACTIN_CYTOSKELETON_SIGNALING,IL-8_SIGNALING,MTORC1_SIGNALING,SENESE_HDAC1_AND_HDAC2_TARGETS_UP,PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,IL1_SIGNALING_PATHWAY,NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,NEUREGULIN_SIGNALING,ERK_MAPK_SIGNALING,LU_AGING_BRAIN_DN,NEUROTROPHIN_SIGNALING_PATHWAY,SIGNALLING_TO_ERKS,ONCOSTATIN_M_SIGNALING,PID_IL8_CXCR2_PATHWAY,FIBRINOLYSIS,MACROPINOCYTOSIS_SIGNALING,TNFA_SIGNALING_VIA_NFKB,ENRICHED IN ANTIGEN PRESENTATION,INTERFERON_GAMMA_RESPONSE,INTERLEUKIN_12_FAMILY_SIGNALING,IL6_JAK_STAT3_SIGNALING,GLUTAMATE_METABOLISM,PID_IL8_CXCR1_PATHWAY,GM-CSF_SIGNALING,INSULIN_SIGNALING_PATHWAY,IL6_SIGNALING_PATHWAY,PI3K_AKT_SIGNALING,TGFB_PATHWAY,LXR_RXR_ACTIVATION,JAK_STAT_SIGNALING_PATHWAY.IPA,LEPTIN_SIGNALING_PATHWAY,CHEMOKINE_SIGNALING,MELATONIN_SIGNALING,HECKER_IFNB1_TARGETS,IL2_STAT5_SIGNALING,NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,COMPLEMENT_SYSTEM,GNRH_SIGNALING_PATHWAY,APOPTOSIS,IL-15_SIGNALING,M2 MACROPHAGES,DNMT3A_EXHAUSTION,JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,RENIN-ANGIOTENSIN_SIGNALING,JAK_STAT_SIGNALING,ROLE_OF_NFAT_IN_CARDIAC_HYPERTROPHY,PID_IFNG_PATHWAY,ERK5_SIGNALING,VIRAL_MYOCARDITIS,GO_AGING,TYPE_II_INTERFERON_SIGNALING,ROLE_OF_JAK1_AND_JAK3_IN_GAMMAC_CYTOKINE_SIGNALING,CORTICO-TROPIN-RELEASING_HORMONE,M1 MACROPHAGES,T CELL EXHAUSTION,TYPE_I_DIABETES_MELLITUS_SIGNALING,T_CELL_EXHAUSTION
Fatigue,-0.40918606729168383,0.058269677670667326,0.5897907946403025,0.13474585624453178,-0.13166131408766218,-0.022628126545474553,-0.26668801264805436,0.3103993296958509,0.6466298787730681,-0.34905879195811795,-0.26955876859333483,0.4517665896660447,0.448853359234925,0.11774632648535271,0.8098646603417264,0.10053749081876735,0.346251290141573,0.1013263851544276,0.5667655496238916,0.44308119094857895,-0.15190769027939371,0.2116045084565614,0.6512031158725903,0.7421266379163824,0.7057441870912046,0.30684298668400634,-0.6643956780546265,0.6183761616180549,0.4783005434536778,-0.11318056052573393,0.3224678227888117,0.5630353635065802,0.5280754046226638,0.7890678928399611,0.7840671345955886,0.16556657484591233,0.48895233860437465,0.6329722911318376,0.3097457032400196,-0.12582988702058023,0.22151957497544403,-0.22009725629979876,0.5982256561318968,-0.5589266091846039,-0.4733598789610492,0.3290050203789971,0.6731840095943654,0.5783885199615847,0.5602458773872471,-0.09367086685650962,0.5656333690041757,0.6416327790496301,0.3473542640031431,0.11505002452517053,-0.385250839721452,0.5756274099642742,0.7582019907111878,-0.2593299242614956,0.5528281304272257,0.5528281304272257,0.6254598429422504,0.7869704205682768,0.5317936212574081,-0.08081367591880055,0.38066793614170824
Pain,-0.0555405248594242,0.4975270568392918,0.5789660764059744,0.41016428024070134,0.4250721256997291,0.4453174667060044,-0.01239146288684377,0.42174995625880524,0.6052039470669758,-0.05913621543120474,0.34150556832316215,0.7028632860141258,0.5279758452104318,0.3227015843794411,0.4117949098996748,0.27080759724055736,0.012242667451988327,0.30988432791561593,0.6205629658669891,0.5395759743732725,0.28702963675821785,0.388720655416702,0.5505374724978626,0.650707240201238,0.7602131165414667,0.5518573831022373,-0.10628552699058358,0.6800212543032337,0.3954451923072945,0.2101486824441417,0.5372080621274119,0.6141008911426442,0.28817199987945596,0.4377720003969969,0.5601102248495713,0.4018742664806886,0.42476510064818473,0.7254560164978522,0.6138247832646622,0.35525105898437104,0.23847258650250855,0.21525087033140683,0.21906954509098017,-0.036193159538048386,0.048309508172250555,0.6136503803110483,0.2543227969318852,0.46859546091773474,0.30337493623527256,0.36789097930857645,0.6422711480156772,0.4298432263284154,0.4927463082168408,0.42236943070780497,0.08200553059637189,0.4372967143162044,0.6958071627899977,0.07686457881626159,0.6778361005282006,0.6778361005282006,0.40239635365821186,0.5365097886006429,0.43051983123720505,0.3781645724638151,-0.09563577839988033
Headache,0.01325634400147607,0.5256299071969558,0.21957995514411566,0.3753093752968527,0.514580667274796,0.38128632435212734,0.13143986026626597,0.15712446609910855,0.1784277618475223,0.31752471596562687,0.42609791085967147,0.41447654242528015,0.24906816956766153,0.11979626564594843,-0.036410673645315264,0.12799181034647766,-0.7065877507037857,0.05428951286825999,0.3204265006156292,0.37240574117916736,0.4913274526505586,0.23354658097344463,0.1062672096930694,0.34546008689237623,0.3643994082295681,0.21815289502994994,0.3100480205954545,0.2694089447610848,-0.10916861175947358,0.3236167931590803,0.31218772725328414,0.38911749409159135,-0.21453428000450142,0.13023796272875124,0.07305499563988428,0.4008245893493326,0.04532208321887745,0.4097223253627845,0.40420368433057025,0.24906138160393163,0.008525863705834597,0.10482916602396568,-0.07814693465424315,-0.01980287303515823,0.356686955851075,0.12742251019229037,-0.17518929416552725,-0.05649103643838936,-0.13937199500645053,0.48657091634447547,0.23359074134442942,-0.0016652512437504703,0.1649125803810614,0.5420302634025406,0.35415536721082197,-0.005181859091534406,0.1575913166373997,0.13160392116138914,0.29258531907106006,0.29258531907106006,0.04161521101747528,0.06858996052124544,0.13553573728716525,0.3082113727488026,-0.38765177495146386
Fever,0.01325634400147607,0.5256299071969558,0.21957995514411566,0.3753093752968527,0.514580667274796,0.38128632435212734,0.13143986026626597,0.15712446609910855,0.1784277618475223,0.31752471596562687,0.42609791085967147,0.41447654242528015,0.24906816956766153,0.11979626564594843,-0.036410673645315264,0.12799181034647766,-0.7065877507037857,0.05428951286825999,0.3204265006156292,0.37240574117916736,0.4913274526505586,0.23354658097344463,0.1062672096930694,0.34546008689237623,0.3643994082295681,0.21815289502994994,0.3100480205954545,0.2694089447610848,-0.10916861175947358,0.3236167931590803,0.31218772725328414,0.38911749409159135,-0.21453428000450142,0.13023796272875124,0.07305499563988428,0.4008245893493326,0.04532208321887745,0.4097223253627845,0.40420368433057025,0.24906138160393163,0.008525863705834597,0.10482916602396568,-0.07814693465424315,-0.01980287303515823,0.356686955851075,0.12742251019229037,-0.17518929416552725,-0.05649103643838936,-0.13937199500645053,0.48657091634447547,0.23359074134442942,-0.0016652512437504703,0.1649125803810614,0.5420302634025406,0.35415536721082197,-0.005181859091534406,0.1575913166373997,0.13160392116138914,0.29258531907106006,0.29258531907106006,0.04161521101747528,0.06858996052124544,0.13553573728716525,0.3082113727488026,-0.38765177495146386
Cough,0.44329044850708305,0.7186336736756038,0.16486323289564137,0.5486326662892044,0.6265289630753761,0.4884983347011829,0.4378483618799455,0.2327938895338052,0.1767475332073862,0.7519422871923224,0.6805506553042568,0.5316225238530359,0.41902999360346804,0.38503591809922927,-0.07439689193544748,0.3572265221546116,-0.5496744524750157,0.39686549575950936,0.3404165525412964,0.32131698302352946,0.6172123711696617,0.3750443431039826,0.0890385104095528,0.3584910822007084,0.3742696485056294,0.38443373627004884,0.5409549615352565,0.2814620265771013,0.014093339906261139,0.665892643139017,0.31847836116183464,0.22067857599307625,-0.07478669693230103,0.07474832760176818,0.14270434392982392,0.5628905571747918,-0.062358657688506645,0.25687526108465725,0.560294389159836,0.3695892355394628,0.2265777474448189,0.3615961816126883,-0.16324049357343645,0.13120415810822608,0.652453185798897,0.17460264936659176,-0.10967507534047415,-0.029204215725540935,-0.0452953805887187,0.7603057295304609,0.16528975024298312,-0.05752562395976745,0.3123457026219754,0.7077368300286869,0.6737746519271726,0.08725920000097767,0.03954406930789953,0.48990023698494656,0.08364747659833367,0.08364747659833367,0.09949990444629156,-0.034328586863431175,0.24641361120795263,0.4883769851978354,-0.35712481401119495
Shortness of Breath,0.44329044850708305,0.7186336736756038,0.16486323289564137,0.5486326662892044,0.6265289630753761,0.4884983347011829,0.4378483618799455,0.2327938895338052,0.1767475332073862,0.7519422871923224,0.6805506553042568,0.5316225238530359,0.41902999360346804,0.38503591809922927,-0.07439689193544748,0.3572265221546116,-0.5496744524750157,0.39686549575950936,0.3404165525412964,0.32131698302352946,0.6172123711696617,0.3750443431039826,0.0890385104095528,0.3584910822007084,0.3742696485056294,0.38443373627004884,0.5409549615352565,0.2814620265771013,0.014093339906261139,0.665892643139017,0.31847836116183464,0.22067857599307625,-0.07478669693230103,0.07474832760176818,0.14270434392982392,0.5628905571747918,-0.062358657688506645,0.25687526108465725,0.560294389159836,0.3695892355394628,0.2265777474448189,0.3615961816126883,-0.16324049357343645,0.13120415810822608,0.652453185798897,0.17460264936659176,-0.10967507534047415,-0.029204215725540935,-0.0452953805887187,0.7603057295304609,0.16528975024298312,-0.05752562395976745,0.3123457026219754,0.7077368300286869,0.6737746519271726,0.08725920000097767,0.03954406930789953,0.48990023698494656,0.08364747659833367,0.08364747659833367,0.09949990444629156,-0.034328586863431175,0.24641361120795263,0.4883769851978354,-0.35712481401119495
Chest Pain,-0.40918606729168383,0.058269677670667326,0.5897907946403025,0.13474585624453178,-0.13166131408766218,-0.022628126545474553,-0.26668801264805436,0.3103993296958509,0.6466298787730681,-0.34905879195811795,-0.26955876859333483,0.4517665896660447,0.448853359234925,0.11774632648535271,0.8098646603417264,0.10053749081876735,0.346251290141573,0.1013263851544276,0.5667655496238916,0.44308119094857895,-0.15190769027939371,0.2116045084565614,0.6512031158725903,0.7421266379163824,0.7057441870912046,0.30684298668400634,-0.6643956780546265,0.6183761616180549,0.4783005434536778,-0.11318056052573393,0.3224678227888117,0.5630353635065802,0.5280754046226638,0.7890678928399611,0.7840671345955886,0.16556657484591233,0.48895233860437465,0.6329722911318376,0.3097457032400196,-0.12582988702058023,0.22151957497544403,-0.22009725629979876,0.5982256561318968,-0.5589266091846039,-0.4733598789610492,0.3290050203789971,0.6731840095943654,0.5783885199615847,0.5602458773872471,-0.09367086685650962,0.5656333690041757,0.6416327790496301,0.3473542640031431,0.11505002452517053,-0.385250839721452,0.5756274099642742,0.7582019907111878,-0.2593299242614956,0.5528281304272257,0.5528281304272257,0.6254598429422504,0.7869704205682768,0.5317936212574081,-0.08081367591880055,0.38066793614170824
Brain Fog,0.44329044850708305,0.7186336736756038,0.16486323289564137,0.5486326662892044,0.6265289630753761,0.4884983347011829,0.4378483618799455,0.2327938895338052,0.1767475332073862,0.7519422871923224,0.6805506553042568,0.5316225238530359,0.41902999360346804,0.38503591809922927,-0.07439689193544748,0.3572265221546116,-0.5496744524750157,0.39686549575950936,0.3404165525412964,0.32131698302352946,0.6172123711696617,0.3750443431039826,0.0890385104095528,0.3584910822007084,0.3742696485056294,0.38443373627004884,0.5409549615352565,0.2814620265771013,0.014093339906261139,0.665892643139017,0.31847836116183464,0.22067857599307625,-0.07478669693230103,0.07474832760176818,0.14270434392982392,0.5628905571747918,-0.062358657688506645,0.25687526108465725,0.560294389159836,0.3695892355394628,0.2265777474448189,0.3615961816126883,-0.16324049357343645,0.13120415810822608,0.652453185798897,0.17460264936659176,-0.10967507534047415,-0.029204215725540935,-0.0452953805887187,0.7603057295304609,0.16528975024298312,-0.05752562395976745,0.3123457026219754,0.7077368300286869,0.6737746519271726,0.08725920000097767,0.03954406930789953,0.48990023698494656,0.08364747659833367,0.08364747659833367,0.09949990444629156,-0.034328586863431175,0.24641361120795263,0.4883769851978354,-0.35712481401119495
Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdominal Pain,-0.0555405248594242,0.4975270568392918,0.5789660764059744,0.41016428024070134,0.4250721256997291,0.4453174667060044,-0.01239146288684377,0.42174995625880524,0.6052039470669758,-0.05913621543120474,0.34150556832316215,0.7028632860141258,0.5279758452104318,0.3227015843794411,0.4117949098996748,0.27080759724055736,0.012242667451988327,0.30988432791561593,0.6205629658669891,0.5395759743732725,0.28702963675821785,0.388720655416702,0.5505374724978626,0.650707240201238,0.7602131165414667,0.5518573831022373,-0.10628552699058358,0.6800212543032337,0.3954451923072945,0.2101486824441417,0.5372080621274119,0.6141008911426442,0.28817199987945596,0.4377720003969969,0.5601102248495713,0.4018742664806886,0.42476510064818473,0.7254560164978522,0.6138247832646622,0.35525105898437104,0.23847258650250855,0.21525087033140683,0.21906954509098017,-0.036193159538048386,0.048309508172250555,0.6136503803110483,0.2543227969318852,0.46859546091773474,0.30337493623527256,0.36789097930857645,0.6422711480156772,0.4298432263284154,0.4927463082168408,0.42236943070780497,0.08200553059637189,0.4372967143162044,0.6958071627899977,0.07686457881626159,0.6778361005282006,0.6778361005282006,0.40239635365821186,0.5365097886006429,0.43051983123720505,0.3781645724638151,-0.09563577839988033
