,ENRICHED IN MONOCYTES,INFLAMMATORY_RESPONSE,COMPLEMENT,CHEMOKINE_SIGNALING_PATHWAY,ENRICHED IN NEUTROPHILS (I),INTEGRIN_SIGNALING,ACTIVATED DENDRITIC CELL SIGNATURE,EPHRIN_RECEPTOR_SIGNALING,ACTIN_CYTOSKELETON_SIGNALING,IL-8_SIGNALING,MTORC1_SIGNALING,SENESE_HDAC1_AND_HDAC2_TARGETS_UP,PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,IL1_SIGNALING_PATHWAY,NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,NEUREGULIN_SIGNALING,ERK_MAPK_SIGNALING,LU_AGING_BRAIN_DN,NEUROTROPHIN_SIGNALING_PATHWAY,SIGNALLING_TO_ERKS,ONCOSTATIN_M_SIGNALING,PID_IL8_CXCR2_PATHWAY,FIBRINOLYSIS,MACROPINOCYTOSIS_SIGNALING,TNFA_SIGNALING_VIA_NFKB,ENRICHED IN ANTIGEN PRESENTATION,INTERFERON_GAMMA_RESPONSE,INTERLEUKIN_12_FAMILY_SIGNALING,IL6_JAK_STAT3_SIGNALING,GLUTAMATE_METABOLISM,PID_IL8_CXCR1_PATHWAY,GM-CSF_SIGNALING,INSULIN_SIGNALING_PATHWAY,IL6_SIGNALING_PATHWAY,PI3K_AKT_SIGNALING,TGFB_PATHWAY,LXR_RXR_ACTIVATION,JAK_STAT_SIGNALING_PATHWAY.IPA,LEPTIN_SIGNALING_PATHWAY,CHEMOKINE_SIGNALING,MELATONIN_SIGNALING,HECKER_IFNB1_TARGETS,IL2_STAT5_SIGNALING,NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,COMPLEMENT_SYSTEM,GNRH_SIGNALING_PATHWAY,APOPTOSIS,IL-15_SIGNALING,M2 MACROPHAGES,DNMT3A_EXHAUSTION,JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,RENIN-ANGIOTENSIN_SIGNALING,JAK_STAT_SIGNALING,ROLE_OF_NFAT_IN_CARDIAC_HYPERTROPHY,PID_IFNG_PATHWAY,ERK5_SIGNALING,VIRAL_MYOCARDITIS,GO_AGING,TYPE_II_INTERFERON_SIGNALING,ROLE_OF_JAK1_AND_JAK3_IN_GAMMAC_CYTOKINE_SIGNALING,CORTICO-TROPIN-RELEASING_HORMONE,M1 MACROPHAGES,T CELL EXHAUSTION,TYPE_I_DIABETES_MELLITUS_SIGNALING
Fatigue,0.7142955044000001,0.5043797818,0.7106225206,0.6085081588,0.7116907043999999,0.7163986868000001,0.51028849,0.7632896304,0.643451118,0.851176441,0.7811057010000001,0.8719503372,0.6747108706,0.7123168908,0.6682625358,0.6152825054,0.5900048016,0.7646681754,0.7482917652000001,0.6768546416,0.684750419,0.7194018842000001,0.7092077566,0.64564925,0.5675251002,0.7552304328000001,0.880163035,0.5987847122,0.7311793343999999,0.7428902238,0.7758088894,0.8000820371999999,0.7339850526000001,0.8582056414,0.6323089962,0.775936623,0.7536260053999999,0.5201866124000001,0.46275569279999995,0.6617321176,0.7082507118000001,0.7851106722,0.6956939294,0.7122135184,0.7130009376,0.35311389559999995,0.7261079417999999,0.6319238292,0.7227645897999999,0.8478893898000001,0.8239655868,0.8761193904000001,0.7401101412,0.698515668,0.7380476927999999,0.7042811456,0.6259846174,0.7102795328000001,0.7895560737999999,0.7895560737999999,0.6701611869999999,0.6113834532,0.757788433,0.7941704912
Pain,0.7527884459090909,0.5440093189090909,0.7598455188181817,0.6675369370909091,0.7586838,0.7435074953636364,0.516844314,0.8076195957272727,0.6902065366363638,0.8862781102727273,0.8003699702727272,0.8656901659090909,0.7154481819999999,0.7529179339090909,0.7334274277272729,0.66973305,0.6161215554545454,0.7959898581818181,0.791167407,0.7205711700000001,0.7098378968181818,0.7622731463636363,0.7507324652727273,0.6992976101818181,0.6273039631818181,0.7945662794545455,0.8959169052727275,0.652107381,0.7608418266363638,0.7785683978181818,0.8140403200909092,0.8107736707272728,0.7787767937272728,0.8672774650909091,0.6826124519090908,0.8078363813636364,0.7780700488181818,0.5940443701818181,0.5561574466363637,0.680391817909091,0.7448956307272728,0.8138221536363635,0.7505396195454547,0.7407734653636364,0.7754880267272728,0.415623315,0.7790780835454547,0.6864819714545454,0.7575798587272726,0.8781247784545454,0.8449083669999999,0.8989795004545453,0.7748692309999999,0.7390857639999999,0.7823732981818182,0.7367954394545454,0.6800265477272728,0.762742614090909,0.8233878951818181,0.8233878951818181,0.7074893910909091,0.6805243953636363,0.8028573874545454,0.8352898118181818
Headache,0.73523045925,0.4914244235,0.72976551,0.6216064175,0.728654402,0.71539201725,0.5012171482500001,0.78872270775,0.6647009745,0.839447716,0.7777157095,0.868558855,0.688883815,0.72838939175,0.6957829755,0.632780566,0.59830241475,0.7830355625,0.7618997572499999,0.68766913175,0.6661161297499999,0.7438916769999999,0.721246061,0.6575862755,0.58920649525,0.76728296525,0.88710590725,0.6104068672499999,0.7483869565000001,0.757321922,0.78383702075,0.8016483095,0.75500382025,0.8552746202500001,0.6555844765,0.7903130365,0.75505398675,0.5343368515,0.46239628175,0.6518232135,0.7269162025,0.79286040525,0.720961092,0.7169732240000001,0.73058104975,0.37804820424999996,0.7506820317499999,0.6540152124999999,0.73291012125,0.8619718024999999,0.8317307512500001,0.8871306665,0.75316449825,0.7126982510000001,0.76764464375,0.71926710325,0.64887085475,0.7255553377499999,0.8012469385,0.8012469385,0.68513543775,0.6302555599999999,0.76557781625,0.79878913075
Fever,0.68781476,0.41871835749999997,0.66019987,0.573073085,0.6780618125,0.6524002584999999,0.4248558285,0.750951004,0.6022549375,0.752095577,0.7047237865,0.8486191875,0.630680658,0.6799011275,0.610514961,0.5531157875,0.518314117,0.7526630495,0.712520262,0.614547402,0.6298893784999999,0.701284866,0.653038901,0.589670453,0.49945224850000003,0.7024884765,0.8679680780000001,0.5171633065,0.7138422879999999,0.7094491645000001,0.7378918695,0.7781162500000001,0.7046211445,0.836032824,0.588969304,0.7593654185000001,0.711006575,0.4518306475,0.3309153695,0.5953062695,0.67785173,0.7596954985,0.655343416,0.6567505405,0.661858772,0.274131378,0.683206675,0.5976099324999999,0.6651943565,0.8200856595,0.787127678,0.8516217735,0.7042000475,0.6794633875,0.72703975,0.6751233095,0.575323383,0.6597075915,0.759269483,0.759269483,0.6363899065,0.531718272,0.6920339879999999,0.7324416380000001
Cough,0.7246639643333334,0.4824284751666666,0.7120561195,0.6029328093333333,0.7188718776666666,0.6998096080000001,0.5116515214999999,0.7820049966666667,0.6548465108333333,0.7838833143333334,0.7506432825,0.8636247593333334,0.6849732408333334,0.722396823,0.6708908741666666,0.6240883486666666,0.5977516051666666,0.7764484726666666,0.7594586335,0.6791855915,0.6789755881666667,0.7367623193333332,0.7074600368333334,0.6521376695,0.5689146143333333,0.7561395341666667,0.886779683,0.5916470171666667,0.7424464978333334,0.743973536,0.7682031770000001,0.7946452391666666,0.7384663935,0.851045264,0.6355810813333334,0.7848074708333334,0.7554631766666667,0.531969573,0.44301947166666666,0.6413143010000001,0.7091263223333334,0.7906005576666666,0.7152390053333333,0.7030293085,0.7281535404999998,0.34722570199999997,0.7371191568333333,0.6504679269999999,0.7226344413333333,0.856155448,0.8124079203333333,0.8728790344999999,0.737411942,0.7077026618333333,0.7519193558333334,0.7102405136666667,0.6348742201666667,0.7212473646666666,0.7980464945,0.7980464945,0.6805584876666667,0.6078208961666666,0.7506068551666667,0.787250546
Shortness of Breath,0.7529884703636364,0.5215431321818182,0.7523349723636364,0.6375666696363637,0.7457800547272726,0.731275655090909,0.5242050603636362,0.8068603655454546,0.6867445861818182,0.8437590905454545,0.7845801360909092,0.8730441341818183,0.7132225505454546,0.7487311504545455,0.7182049875454545,0.6616766937272728,0.6287893793636364,0.7932249248181819,0.7863637755454544,0.7138037675454546,0.6843215189999999,0.7623874502727273,0.7411477731818181,0.6886712069090909,0.6150777537272728,0.7839505975454544,0.8978757853636363,0.634699537,0.7621964514545454,0.7737613075454545,0.7947986309090909,0.810530602181818,0.7686096233636363,0.8647147034545454,0.6693136625454545,0.8058654103636365,0.7813023107272727,0.5666686205454545,0.5141896558181819,0.6597793744545455,0.7363420523636364,0.809547880090909,0.7504319669999998,0.7390095201818181,0.7673736943636363,0.4082891934545454,0.774048285,0.6793455178181819,0.7568286445454544,0.8768660189090909,0.8395524335454546,0.8953023713636363,0.7644807771818183,0.7290223588181818,0.7776965991818181,0.7324480050000001,0.6765454679090909,0.7575721172727273,0.8187254497272726,0.8187254497272726,0.7053458687272727,0.6609632235454547,0.7939744265454546,0.815150664181818
Chest Pain,0.7383929960000001,0.4854116896,0.7333572508,0.6302229241999999,0.7323833581999999,0.7081999382,0.47143065679999996,0.7943716452,0.6655722812,0.8316576006,0.7521436560000001,0.864142244,0.6912864828,0.7326401764,0.6982154166,0.6271946533999999,0.5898098618000001,0.7819741662,0.7659588004,0.68541984,0.6587459518000001,0.7515552604,0.7142881642000001,0.664941842,0.5875432454,0.7580206250000001,0.8913884462,0.6006850235999999,0.7501553058000001,0.7605979204000001,0.7821738053999999,0.8062719320000001,0.756296861,0.8658518736000002,0.6509970921999999,0.7955708872,0.7671652969999999,0.535673273,0.47535978740000007,0.6303568622,0.7199635614,0.7981954635999999,0.7301453614,0.721624194,0.7404078399999999,0.37583891879999987,0.752149623,0.6589471706000001,0.7348444618000001,0.8624764802000001,0.8294907842000001,0.8892628578,0.74723087,0.7199053364,0.7721873298,0.7172679613999999,0.6579337867999999,0.7344977516,0.8022874388,0.8022874388,0.6888662675999999,0.6312083406,0.772443967,0.787213444
Brain Fog,0.6960567355,0.47441986625,0.688538494,0.579585341,0.69475748925,0.6951229919999999,0.46906654625,0.75011650025,0.6233028165000001,0.825188765,0.7564900290000001,0.8646113655,0.65118704575,0.6919398139999999,0.64833314275,0.58089899525,0.56252146575,0.752550013,0.726805709,0.64975905275,0.6595850007499999,0.705056984,0.68618226425,0.61420073925,0.5402413032500001,0.7370469884999999,0.8694371057500001,0.56232564975,0.7167843542500001,0.7242947687500001,0.76181556425,0.784214464,0.718394131,0.8416178839999999,0.61531032525,0.7670412875,0.73807896025,0.48142137725,0.41223664475,0.6304913475,0.6905511952500001,0.7678571762499999,0.6768379385000001,0.6837756545,0.68552103725,0.32355590324999994,0.70396953025,0.6084777997499999,0.7026727187499999,0.8325330395,0.8093610860000001,0.8657738104999999,0.7210583694999999,0.67960769375,0.7292997805,0.6880256255,0.599543489,0.6846887899999999,0.7764239774999999,0.7764239774999999,0.65360149675,0.576026425,0.74053684925,0.7697391295
Dizziness,0.7033276902499999,0.44988197825,0.684805034,0.585784616,0.701399076,0.66732400675,0.46486240749999996,0.76680042675,0.6305502665,0.7173710395,0.710590557,0.855277534,0.657002283,0.7025771220000001,0.6282778547500001,0.5890594887499999,0.56719406225,0.7636272367499999,0.73637331025,0.644655217,0.66066261775,0.7242963270000001,0.677142906,0.628997257,0.5317726595,0.72754602575,0.8776539720000001,0.55122835925,0.7256348165000001,0.7224578545,0.75017448375,0.78266774125,0.715830164,0.83768092575,0.61064727225,0.77596038575,0.73736910275,0.5036916375,0.3950611235,0.60701832225,0.6925705225,0.77635063175,0.6913554942500001,0.68126884075,0.7039363092500001,0.29861266799999997,0.70845009525,0.6304292302500001,0.69568472175,0.83641234675,0.79114992175,0.85752935825,0.7115374075,0.6948927885,0.74356355575,0.6920196142499999,0.60305422075,0.6955594377500001,0.78679193075,0.78679193075,0.6638488935,0.56472666975,0.72618118275,0.754310132
Abdominal Pain,0.68781476,0.41871835749999997,0.66019987,0.573073085,0.6780618125,0.6524002584999999,0.4248558285,0.750951004,0.6022549375,0.752095577,0.7047237865,0.8486191875,0.630680658,0.6799011275,0.610514961,0.5531157875,0.518314117,0.7526630495,0.712520262,0.614547402,0.6298893784999999,0.701284866,0.653038901,0.589670453,0.49945224850000003,0.7024884765,0.8679680780000001,0.5171633065,0.7138422879999999,0.7094491645000001,0.7378918695,0.7781162500000001,0.7046211445,0.836032824,0.588969304,0.7593654185000001,0.711006575,0.4518306475,0.3309153695,0.5953062695,0.67785173,0.7596954985,0.655343416,0.6567505405,0.661858772,0.274131378,0.683206675,0.5976099324999999,0.6651943565,0.8200856595,0.787127678,0.8516217735,0.7042000475,0.6794633875,0.72703975,0.6751233095,0.575323383,0.6597075915,0.759269483,0.759269483,0.6363899065,0.531718272,0.6920339879999999,0.7324416380000001
